species_en,category,interpretation_text
Taiwan Blue Magpie,fun_fact,"Taiwan Blue Magpie is an endemic species of Taiwan, known for its vibrant blue feathers and long tail. It's often called the Blue Gem of the Forest and lives in social groups, making loud and varied calls."
Taiwan Blue Magpie,fun_fact,"This beautiful bird is commonly found in Taiwan's mountain areas, especially in broadleaf forests at elevations between 500-2000 meters. Its blue feathers shimmer in sunlight, making it very eye-catching."
Taiwan Blue Magpie,fun_fact,"The Taiwan Blue Magpie has an exceptionally long tail, almost twice the length of its body. When flying through forests, the long tail flows elegantly like a ribbon, which is a key identifying feature."
Sparrow,fun_fact,"The sparrow is one of the most common urban birds, with incredible adaptability. They can survive in various environments, from parks to markets, from rural to urban areas, almost everywhere."
Sparrow,fun_fact,"Despite their small size, sparrows are very intelligent. They observe human behavior, learn to forage at the right times, and can even open simple containers to get food."
Sparrow,fun_fact,"While sparrow calls are simple, they are quite varied. Different calls convey different meanings, including alarm, courtship, and communication with flock members, showing their complex communication abilities."
Crested Goshawk,fun_fact,"Crested Goshawk is a common raptor in Taiwan's mid to low elevation mountain areas, with sharp eyes and strong talons. They are excellent hunters, primarily preying on small birds and mammals."
Crested Goshawk,fun_fact,"The most distinctive feature of this hawk is the prominent crest on its head, which looks like a small cap. When alert, the crest stands up, making them appear more majestic."
Crested Goshawk,fun_fact,"Crested Goshawks have exceptional flying skills, able to navigate quickly through dense forests to catch prey. Their vision is excellent, allowing them to spot small animals on the ground from high perches."
Great Mormon,fun_fact,"The Great Mormon is one of Taiwan's largest butterflies, with a wingspan reaching up to 12 cm. They have beautiful black and white patterns and look spectacular when flying in sunlight."
Great Mormon,fun_fact,"This butterfly particularly enjoys open grasslands and gardens, often seen dancing among flowers while collecting nectar. Their flight speed is not fast, but very graceful."
Great Mormon,fun_fact,"Great Mormon caterpillars feed on Rutaceae plants, including citrus species. If you see this beautiful butterfly in a citrus orchard, it indicates a healthy environment."
Purple Crow,fun_fact,"The Purple Crow is a famous migratory butterfly in Taiwan, collectively migrating to warmer southern regions each winter. Tens of thousands gather together, forming spectacular natural phenomena."
Purple Crow,fun_fact,"This butterfly has beautiful purple spots on its wings that show metallic luster in sunlight. Different individuals have slightly varying spot sizes and color depths, making each one unique."
Purple Crow,fun_fact,"The Purple Crow's migration routes are very fixed, following the same paths back and forth, demonstrating remarkable navigation abilities. Scientists are still studying how they remember these routes."
Taiwan Blue Magpie,behavior,"Taiwan Blue Magpie is a social bird, often active in small groups of 5-10 individuals. They cooperate in foraging and jointly defend their territory. When danger is detected, they emit loud alarm calls."
Taiwan Blue Magpie,behavior,"This bird is very intelligent and observes environmental changes. During breeding season, they become more alert, protecting nests and young. Their nests are usually built high in trees, constructed with branches and leaves."
Taiwan Blue Magpie,behavior,"Taiwan Blue Magpie has a clear hierarchy system, with leading individuals in groups. Leaders guide the group in foraging and movement, with other members following. This social structure helps improve survival rates."
Sparrow,behavior,"Sparrows are diurnal birds, mainly active during the day. Their activity patterns align with human schedules, most active in morning and evening. They utilize food resources created by human activities."
Sparrow,behavior,"This bird is highly adapted to urban environments, using building crevices for nesting. Their nests are typically built under eaves, behind air conditioning units, and other hidden places, constructed with grass and feathers."
Sparrow,behavior,"Sparrows have strong territorial instincts, protecting their foraging areas. When other birds intrude, they emit warning calls and may even drive away intruders. This behavior is more pronounced during breeding season."
Crested Goshawk,behavior,"Crested Goshawk is a solitary raptor, usually active alone except during breeding season. They have fixed activity ranges, patrolling their territory and searching for prey."
Crested Goshawk,behavior,"This hawk's hunting method is very distinctive. They perch on high vantage points to observe, then quickly dive to catch prey when spotted. Their talons are very strong, able to firmly grasp prey."
Crested Goshawk,behavior,"Crested Goshawks become more active during breeding season, performing courtship flight displays. Males perform various aerial acrobatics in the air, demonstrating their abilities and health status."
Great Mormon,behavior,"Great Mormon is a diurnal butterfly, mainly active during the day. They prefer flying in sunny locations, especially in open grasslands and gardens."
Great Mormon,behavior,"This butterfly's flight speed is not fast, but very stable. They follow fixed routes while flying, searching for suitable flowers to collect nectar. They have preferences for certain flower species."
Great Mormon,behavior,"When resting, Great Mormons fold their wings, revealing the protective colors on the wing undersides. These colors help them blend into the environment and avoid predator attention."
Purple Crow,behavior,"Purple Crow is a migratory butterfly, moving according to seasonal changes. In winter, they gather in warm southern regions, forming large overwintering groups."
Purple Crow,behavior,"This butterfly has strong flight capabilities, able to migrate long distances. They utilize air currents and wind directions to conserve energy, demonstrating remarkable navigation and flight skills."
Purple Crow,behavior,"During migration, Purple Crows move collectively, with thousands of butterflies flying together, creating spectacular sights. This collective behavior may help improve survival rates and navigation accuracy."
Taiwan Blue Magpie,habitat,"Taiwan Blue Magpie primarily inhabits mid to low elevation mountain broadleaf forests in Taiwan, at elevations between 500-2000 meters. They prefer environments with rich tree cover and open spaces."
Taiwan Blue Magpie,habitat,"This bird particularly likes secondary forests and planted forests, which provide abundant food resources and nesting sites. They also appear in semi-natural environments like parks and campuses."
Taiwan Blue Magpie,habitat,"Taiwan Blue Magpie requires diverse habitats, including tall trees for nesting, open spaces for foraging, and areas near water sources. They have certain requirements for environmental quality."
Sparrow,habitat,"Sparrows are extremely well-adapted to urban environments and can survive in various human activity areas. From parks, markets, schools to residential areas, they are almost everywhere."
Sparrow,habitat,"This bird particularly likes environments combining buildings and green spaces. Buildings provide nesting sites, while green spaces provide food resources. They utilize various resources created by human activities."
Sparrow,habitat,"Despite their strong adaptability, sparrows still need some natural environment. They prefer areas with trees, grasslands, and water sources, which provide complete living conditions."
Crested Goshawk,habitat,"Crested Goshawk primarily inhabits forests in Taiwan's mid to low elevation mountains, at elevations between 200-1500 meters. They prefer environments with tall trees and open views."
Crested Goshawk,habitat,"This hawk needs sufficient space for hunting, so they prefer forest edges and open areas. They use trees as observation points, searching for prey from high perches."
Crested Goshawk,habitat,"Crested Goshawk has certain habitat requirements, needing rich prey resources and suitable tall trees for nesting. Declining environmental quality affects their survival."
Great Mormon,habitat,"Great Mormon primarily inhabits open environments in low elevation areas, including grasslands, gardens, and parks. They prefer environments with abundant flowers for nectar collection."
Great Mormon,habitat,"This butterfly particularly likes environments with Rutaceae plants, as their caterpillars feed on these plants. Citrus orchards and lemon groves are common habitats."
Great Mormon,habitat,"Great Mormon needs diverse habitats, including open foraging areas and suitable plants for egg-laying. They have good adaptability and can survive in various semi-natural environments."
Purple Crow,habitat,"Purple Crow primarily inhabits mid to low elevation mountains in Taiwan, especially environments with abundant host plants. They migrate between different regions according to seasonal changes."
Purple Crow,habitat,"This butterfly gathers in warm southern regions during winter, forming large overwintering groups. These areas typically have suitable temperature and humidity, as well as sufficient food resources."
Purple Crow,habitat,"Purple Crow needs a complete habitat chain, including suitable host plants for egg-laying, abundant nectar sources, and appropriate climate conditions. Habitat integrity is crucial for their survival."
